name,list_id,country,entity_type,address,remarks
AVIC SHENYANG AIRCRAFT COMPANY LIMITED,32056,,COMPANY,,Equity Ticker 600760 CN; Issuer Name Dongan Heibao Co. Ltd.; ISIN CNE000000MH6; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 9137000016309489X2 (China).
AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,32052,,COMPANY,,"Equity Ticker 000768 CN; Issuer Name AVIC Aircraft Co., Ltd.; ISIN CNE000000RF9; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 916100002942059830 (China)."
"BADER, Mohammed Maher Yousef",9657,,INDIVIDUAL,,DOB 1956.
"BAHAR, Ahmad",9704,,INDIVIDUAL,,DOB 1949; POB Gaza; HAMAS - Gaza.
BANCO VTB AFRICA SA,18725,,COMPANY,,"SWIFT/BIC VTBLAOLU; Website www.vtb.ao; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: VTB BANK PUBLIC JOINT STOCK COMPANY."
BANK BELVEB OJSC,18291,,COMPANY,,"SWIFT/BIC BELBBY2X; Website bveb.by; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 23 Dec 1991; Target Type Financial Institution; Tax ID No. 7750004150 (Russia); Legal Entity Number 25340038P8SYW80B9W34 (Russia); All offices worldwide; for more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK."
BANK OF KUNLUN CO LTD,15268,,COMPANY,,"SWIFT/BIC CKLBCNBJ; United States financial institutions are prohibited from opening or maintaining a correspondent account or a payable-through account for the foreign financial institution listed here, pursuant to 31 C.F.R. section 561.201(c)."
BANK VTB 24 PUBLIC JOINT STOCK COMPANY,18719,,COMPANY,,"SWIFT/BIC CBGURUMM; Website www.vtb24.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027739207462 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: VTB BANK PUBLIC JOINT STOCK COMPANY."
BANK VTB KAZAKHSTAN JOINT STOCK COMPANY,18723,,COMPANY,,"SWIFT/BIC VTBAKZKZ; Website http://en.vtb-bank.kz/; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: VTB BANK PUBLIC JOINT STOCK COMPANY."
"BELOGLINSKI ELEVATOR, OAO",20662,,COMPANY,,"Email Address belnep00@mail.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1022303499074; Tax ID No. 2326002180; Government Gazette Number 00940482; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK."
BM BANK JSC,17017,,COMPANY,,"SWIFT/BIC MOSWRUMM; BIK (RU) 044525219; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Registration ID 1027700159497 (Russia); Government Gazette Number 29292940 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: VTB BANK PUBLIC JOINT STOCK COMPANY."
BM BANK PUBLIC JOINT STOCK COMPANY,20002,,COMPANY,,"SWIFT/BIC BMLTUAUK; Website http://www.bmbank.com.ua; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Government Gazette Number 29292940 (Russia); Registration Number 1027700159497 (Russia); All offices worldwide; for more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
BM HOLDING AG,19993,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
"BM PROEKT, OOO",19990,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 5117746015624 (Russia); Tax ID No. 7702777873 (Russia); Government Gazette Number 37319127 (Russia); For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; a.k.a. 'LLC BM PROJECT'; Linked To: BM BANK JSC."
"BM-DIREKTSIYA, OOO",20007,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1117746628185; Tax ID No. 7702768727; Government Gazette Number 30162881; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
BOM ASSET MANAGEMENT LTD,19995,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
BOM FINANCE LTD,19996,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
BOM PROJECT FINANCING LTD,19997,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
"BPO PECHATNIKI, OAO",20000,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1087746844240; Tax ID No. 7706694089; Government Gazette Number 87562873; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
BYLINNYE BOGATYRI LIMITED LIABILITY COMPANY,18747,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA."
CENTRAL BANK OF THE RUSSIAN FEDERATION,31695,,COMPANY,,"SWIFT/BIC CBRFRUMM; Website www.cbr.ru; Organization Established Date 13 Jul 1990; Organization Type: Central banking; Target Type Government Entity; Executive Order 14024 Directive Information - For more information on directives, please visit the following link: https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions#directives; Executive Order 14024 Directive Information Subject to Directive 1a - As of the effective date, participation in the secondary market for ruble or non-ruble denominated bonds issued on or after the effective date by the Central Bank of the Russian Federation, the National Wealth Fund of the Russian Federation, or the Ministry of Finance of the Russian Federation is prohibited.; alt. Executive Order 14024 Directive Information Subject to Directive 4 - any transaction involving the Central Bank of the Russian Federation, the National Wealth Fund of the Russian Federation"
CENTREX EUROPE ENERGY AND GAS AG,20313,,COMPANY,,"Website www.centrex.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID FN 230884k; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: GAZPROMBANK JOINT STOCK COMPANY."
CHANGSHA JINGJIA MICROELECTRONICS COMPANY LIMITED,32102,,COMPANY,,"Equity Ticker 300474 CN; Issuer Name Changsha Jingjia Microelectronics Co., Ltd.; alt. Issuer Name Changsha Jingjia Microelectronics Company Limited; ISIN CNE100002664; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 914301007853917172 (China)."
"CHERNOMORTRANSNEFT, AO",22393,,COMPANY,,"Website www.nvr.transneft.ru; Email Address fogela@nvr.transneft.ru; Executive Order 13662 Directive Determination - Subject to Directive 2; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1022302384136 (Russia); Tax ID No. 2315072242 (Russia); Government Gazette Number 00139011 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY TRANSNEFT."
CHINA ACADEMY OF LAUNCH VEHICLE TECHNOLOGY,30927,,COMPANY,,Target Type State-Owned Enterprise; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Business Registration Number 100000108000042 (China); a.k.a. 'CALT'.
CHINA AEROSPACE SCIENCE AND INDUSTRY CORPORATION LIMITED,30928,,COMPANY,,Issuer Name China Aerospace Science and Industry Corporation Limited; ISIN CND1000142N4; Target Type State-Owned Enterprise; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91110000710925243K (China).
CHINA AEROSPACE SCIENCE AND TECHNOLOGY CORPORATION,30929,,COMPANY,,Issuer Name China Aerospace Science and Technology Corporation; ISIN CND1000090Q8; alt. ISIN CND100006HP7; Target Type State-Owned Enterprise; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91110000100014071Q (China); a.k.a. 'CASC'.
